Timestamp,ID,Occupancy,Capacity
2016-10-04 07:59:00,0,61,577
2016-10-04 07:59:00,5248,237,1200
2016-10-04 07:59:00,3936,264,687
2016-10-04 07:59:00,6560,249,485
2016-10-04 07:59:00,17056,614,1920
2016-10-04 07:59:00,2624,117,470
2016-10-04 07:59:00,7872,178,690
2016-10-04 07:59:00,14432,445,1322
2016-10-04 07:59:00,9184,709,2009
2016-10-04 07:59:00,10496,195,2803
2016-10-04 07:59:00,1312,120,387
2016-10-04 07:59:00,11808,1081,3883
2016-10-04 07:59:00,13120,547,2937
2016-10-04 07:59:00,15744,588,3103
2016-10-04 08:25:00,14433,478,1322
2016-10-04 08:25:00,6561,267,485
2016-10-04 08:25:00,9185,780,2009
2016-10-04 08:25:00,13121,665,2937
2016-10-04 08:25:00,11809,1467,3883
2016-10-04 08:25:00,1313,129,387
2016-10-04 08:25:00,3937,302,687
2016-10-04 08:25:00,2625,174,470
2016-10-04 08:25:00,15745,678,3103
2016-10-04 08:25:00,7873,269,690
2016-10-04 08:25:00,10497,238,2803
2016-10-04 08:25:00,17057,761,1920
2016-10-04 08:25:00,5249,315,1200
2016-10-04 08:25:00,1,64,577
2016-10-04 08:59:00,14434,518,1322
2016-10-04 08:59:00,1314,155,387
2016-10-04 08:59:00,10498,323,2803
2016-10-04 08:59:00,17058,958,1920
2016-10-04 08:59:00,11810,2007,3883
2016-10-04 08:59:00,7874,415,690
2016-10-04 08:59:00,6562,278,485
2016-10-04 08:59:00,2626,269,470
2016-10-04 08:59:00,3938,346,687
2016-10-04 08:59:00,2,80,577
2016-10-04 08:59:00,15746,792,3103
2016-10-04 08:59:00,5250,441,1200
2016-10-04 08:59:00,13122,848,2937
2016-10-04 08:59:00,9186,864,2009
2016-10-04 09:32:00,2627,351,470
2016-10-04 09:32:00,1315,204,387
2016-10-04 09:32:00,13123,1036,2937
2016-10-04 09:32:00,14435,590,1322
2016-10-04 09:32:00,7875,530,690
2016-10-04 09:32:00,15747,932,3103
2016-10-04 09:32:00,10499,420,2803
2016-10-04 09:32:00,9187,1004,2009
2016-10-04 09:32:00,3,107,577
2016-10-04 09:32:00,17059,1121,1920
2016-10-04 09:32:00,11811,2502,3883
2016-10-04 09:32:00,3939,414,687
2016-10-04 09:32:00,5251,552,1200
2016-10-04 09:32:00,6563,302,485
2016-10-04 09:59:00,5252,638,1200
2016-10-04 09:59:00,17060,1254,1920
2016-10-04 09:59:00,14436,657,1322
2016-10-04 09:59:00,2628,397,470
2016-10-04 09:59:00,15748,1052,3103
2016-10-04 09:59:00,10500,476,2803
2016-10-04 09:59:00,1316,236,387
2016-10-04 09:59:00,9188,1142,2009
2016-10-04 09:59:00,13124,1163,2937
2016-10-04 09:59:00,7876,600,690
2016-10-04 09:59:00,6564,327,485
2016-10-04 09:59:00,4,150,577
2016-10-04 09:59:00,11812,2802,3883
2016-10-04 09:59:00,3940,485,687
2016-10-04 10:26:00,14437,715,1322
2016-10-04 10:26:00,2629,430,470
2016-10-04 10:26:00,15749,1142,3103
2016-10-04 10:26:00,7877,642,690
2016-10-04 10:26:00,5,177,577
2016-10-04 10:26:00,9189,1245,2009
2016-10-04 10:26:00,10501,525,2803
2016-10-04 10:26:00,5253,686,1200
2016-10-04 10:26:00,13125,1257,2937
2016-10-04 10:26:00,11813,3035,3883
2016-10-04 10:26:00,17061,1324,1920
2016-10-04 10:26:00,3941,530,687
2016-10-04 10:26:00,6565,351,485
2016-10-04 10:26:00,1317,264,387
2016-10-04 10:59:00,17062,1387,1920
2016-10-04 10:59:00,5254,729,1200
2016-10-04 10:59:00,13126,1354,2937
2016-10-04 10:59:00,15750,1210,3103
2016-10-04 10:59:00,11814,3169,3883
2016-10-04 10:59:00,3942,573,687
2016-10-04 10:59:00,7878,675,690
2016-10-04 10:59:00,6566,371,485
2016-10-04 10:59:00,14438,791,1322
2016-10-04 10:59:00,6,219,577
2016-10-04 10:59:00,1318,308,387
2016-10-04 10:59:00,10502,574,2803
2016-10-04 10:59:00,2630,458,470
2016-10-04 10:59:00,9190,1364,2009
2016-10-04 11:25:00,17063,1428,1920
2016-10-04 11:25:00,5255,765,1200
2016-10-04 11:25:00,7,247,577
2016-10-04 11:25:00,14439,820,1322
2016-10-04 11:25:00,13127,1369,2937
2016-10-04 11:25:00,9191,1424,2009
2016-10-04 11:25:00,2631,464,470
2016-10-04 11:25:00,15751,1241,3103
2016-10-04 11:25:00,11815,3221,3883
2016-10-04 11:25:00,3943,604,687
2016-10-04 11:25:00,10503,588,2803
2016-10-04 11:25:00,1319,324,387
2016-10-04 11:25:00,6567,373,485
2016-10-04 11:25:00,7879,672,690
2016-10-04 11:59:00,15752,1288,3103
2016-10-04 11:59:00,11816,3248,3883
2016-10-04 11:59:00,8,259,577
2016-10-04 11:59:00,13128,1390,2937
2016-10-04 11:59:00,10504,605,2803
2016-10-04 11:59:00,1320,332,387
2016-10-04 11:59:00,9192,1470,2009
2016-10-04 11:59:00,14440,836,1322
